[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:12:33.96,0:12:36.32,Default,,0000,0000,0000,,正しいことが\Nやっとできそうじゃ。\N
Dialogue: 0,0:12:36.32,0:12:45.42,Default,,0000,0000,0000,,砂と木ノ葉…。\N
Dialogue: 0,0:12:45.42,0:12:48.94,Default,,0000,0000,0000,,これからの未来は→\N
Dialogue: 0,0:12:48.94,0:12:51.48,Default,,0000,0000,0000,,わしらのときとは\N違ったものになろう。\N
Dialogue: 0,0:12:51.48,0:12:57.19,Default,,0000,0000,0000,,カカシの言っていた\Nお前の不思議な力。\N
Dialogue: 0,0:12:57.19,0:13:01.41,Default,,0000,0000,0000,,その力が\N未来を大きく変えるじゃろう。\N
Dialogue: 0,0:13:01.41,0:13:06.41,Default,,0000,0000,0000,,今までにない火影になってな…\N
Dialogue: 0,0:13:09.15,0:13:12.51,Default,,0000,0000,0000,,猿飛先生や　砂のチヨ様にあって→\N
Dialogue: 0,0:13:12.51,0:13:15.51,Default,,0000,0000,0000,,アンタたちにないもの　それは…。\N
Dialogue: 0,0:13:18.07,0:13:21.07,Default,,0000,0000,0000,,信じる力だ！\N
Dialogue: 0,0:13:28.58,0:13:46.42,Default,,0000,0000,0000,,～\N
Dialogue: 0,0:13:46.42,0:13:51.47,Default,,0000,0000,0000,,私の祖父\N初代火影がアンタたちを信じ→\N
Dialogue: 0,0:13:51.47,0:13:53.47,Default,,0000,0000,0000,,木ノ葉を託したように。\N
Dialogue: 0,0:14:00.72,0:14:05.44,Default,,0000,0000,0000,,（綱手）今度はアンタたちが子供を信じ\N託す番だ！\N
Dialogue: 0,0:14:05.44,0:14:31.54,Default,,0000,0000,0000,,～\N
Dialogue: 0,0:14:31.54,0:14:34.54,Default,,0000,0000,0000,,好きにせい。\N
Dialogue: 0,0:14:42.15,0:14:44.33,Default,,0000,0000,0000,,（シズネ）綱手様！\N
Dialogue: 0,0:14:44.33,0:14:47.53,Default,,0000,0000,0000,,何かわかったのか？\Nはい。\N
Dialogue: 0,0:14:47.53,0:14:51.40,Default,,0000,0000,0000,,これです。\N何だ？\N
Dialogue: 0,0:14:51.40,0:14:55.44,Default,,0000,0000,0000,,チャクラの信号を受け取る\N受信機のようなものです。\N
Dialogue: 0,0:14:55.44,0:14:59.65,Default,,0000,0000,0000,,ペインの検死体のあちこちに\N刺さっていました。\N
Dialogue: 0,0:14:59.65,0:15:02.85,Default,,0000,0000,0000,,受信機？\Nフカサク様のお話からすると→\N
Dialogue: 0,0:15:02.85,0:15:06.72,Default,,0000,0000,0000,,ペイン６人全員の体や顔に→\N
Dialogue: 0,0:15:06.72,0:15:09.58,Default,,0000,0000,0000,,これと同じものが\N刺さっていたことになります。\N
Dialogue: 0,0:15:09.58,0:15:11.27,Default,,0000,0000,0000,,つまり　６人とも→\N
Dialogue: 0,0:15:11.27,0:15:13.97,Default,,0000,0000,0000,,何かしらのチャクラの信号を\N全身で受け取り→\N
Dialogue: 0,0:15:13.97,0:15:17.33,Default,,0000,0000,0000,,行動しているということか。\N
Dialogue: 0,0:15:17.33,0:15:19.52,Default,,0000,0000,0000,,まだ　そこまでハッキリしてません。\N
Dialogue: 0,0:15:19.52,0:15:24.23,Default,,0000,0000,0000,,受信機　それとも\N互いにチャクラを送信し合う→\N
Dialogue: 0,0:15:24.23,0:15:26.25,Default,,0000,0000,0000,,無線のようなものか。\N
Dialogue: 0,0:15:26.25,0:15:29.28,Default,,0000,0000,0000,,そして\Nこれが今まさに反応していて…。\N
Dialogue: 0,0:15:29.28,0:15:32.82,Default,,0000,0000,0000,,それが　ペインの強さの秘密に\Nつながっているはずです。\N
Dialogue: 0,0:15:32.82,0:15:37.70,Default,,0000,0000,0000,,尋問班からの情報と合わせて\N早急に解明します。\N
Dialogue: 0,0:15:37.70,0:15:42.41,Default,,0000,0000,0000,,情報部からの連絡によると\N敵はナルトを捜している。\N
Dialogue: 0,0:15:42.41,0:15:46.45,Default,,0000,0000,0000,,この里に侵入してきた敵は\Nまず間違いなくペインだ。\N
Dialogue: 0,0:15:46.45,0:15:47.97,Default,,0000,0000,0000,,ペインが？\N
Dialogue: 0,0:15:47.97,0:15:52.02,Default,,0000,0000,0000,,すべてをフカサク様にも\N連絡しておいたほうがいいな。\N
Dialogue: 0,0:15:52.02,0:15:55.05,Default,,0000,0000,0000,,連絡蛙よ　ナルトを呼ぶついでに→\N
Dialogue: 0,0:15:55.05,0:15:58.74,Default,,0000,0000,0000,,このことも伝えてくれ。\Nわかった！\N
Dialogue: 0,0:15:58.74,0:16:03.79,Default,,0000,0000,0000,,シズネは検死の情報をもって\N尋問班と接触し→\N
Dialogue: 0,0:16:03.79,0:16:04.81,Default,,0000,0000,0000,,ペインが何者か解明しろ！\Nはい！\N
Dialogue: 0,0:16:04.81,0:16:08.01,Default,,0000,0000,0000,,暗部　ろ班は　シズネの護衛。\N
Dialogue: 0,0:16:08.01,0:16:11.70,Default,,0000,0000,0000,,そのついでに\N尋問部隊のガードに回れ。\N
Dialogue: 0,0:16:11.70,0:16:14.23,Default,,0000,0000,0000,,ヤツらを近づけるな！\Nはっ！\N
Dialogue: 0,0:16:14.23,0:16:16.25,Default,,0000,0000,0000,,私は屋上で情報を待ちつつ→\N
Dialogue: 0,0:16:16.25,0:16:19.45,Default,,0000,0000,0000,,カツユを通じて全ケガ人の治療を行う。\N
Dialogue: 0,0:16:19.45,0:16:20.80,Default,,0000,0000,0000,,里を全力で守る！\N
Dialogue: 0,0:16:20.80,0:16:22.80,Default,,0000,0000,0000,,いくぞ！\N
